gene,group,bin,n,mean,zc
Apoe,CLP,9,3295,1.8699557781219482,-0.053990714
Apob,Sham,0,3420,1.8894513845443726,-0.7282628
Apob,Sham,1,3419,1.7813268899917603,-0.5630905
Apob,Sham,2,3420,1.7172391414642334,-0.48928714
Apob,Sham,3,3419,1.6903760433197021,-0.44062132
Apob,Sham,4,3419,1.6784433126449585,-0.39919755
Apob,Sham,5,3420,1.6378095149993896,-0.35999492
Apob,Sham,6,3419,1.676053762435913,-0.32021022
Apob,Sham,7,3420,1.6820634603500366,-0.27493734000000003
Apob,Sham,8,3419,1.6395145654678345,-0.21551788
Apob,Sham,9,3420,1.6661787033081055,-0.11035838749999999
Apob,CLP,0,3295,1.9854084253311157,-0.7252295
Apob,CLP,1,3295,1.9974501132965088,-0.6332191
Apob,CLP,2,3295,2.000861644744873,-0.56623507
Apob,CLP,3,3295,2.0095596313476562,-0.5058848
Apob,CLP,4,3295,2.028238534927368,-0.4482787
Apob,CLP,5,3295,1.9992181062698364,-0.38891482
Apob,CLP,6,3295,1.969051718711853,-0.3239999
Apob,CLP,7,3295,1.81824791431427,-0.2528145
Apob,CLP,8,3295,1.6644320487976074,-0.17021167
Apob,CLP,9,3295,1.6764975786209106,-0.053990714
Apoa1,Sham,0,3420,2.097658634185791,-0.7282628
Apoa1,Sham,1,3419,2.418588161468506,-0.5630905
Apoa1,Sham,2,3420,2.4696462154388428,-0.48928714
Apoa1,Sham,3,3419,2.484473943710327,-0.44062132
Apoa1,Sham,4,3419,2.484431028366089,-0.39919755
